188572,The Complete Sherlock Holmes,4.5,111473
10147,The Complete Sherlock Holmes, Volume I,4.5,16821
228199,The Green Mile, Part 4: The Bad Death of Eduard Delacroix,4.52,13164
228198,The Green Mile, Part 3: Coffey's Hands,4.51,12556
71823,The Green Mile, Part 6: Coffey on the Mile,4.55,12215
228200,The Green Mile, Part 5: Night Journey,4.52,11679
892295,The Annotated Sherlock Holmes: The Four Novels and the Fifty-Six Short Stories Complete (2 Volume Set),4.58,9672
12384681,Divide & Conquer (Cut & Run, #4),4.5,8734
13246997,Armed & Dangerous (Cut & Run, #5),4.52,8563
14061520,Stars & Stripes (Cut & Run, #6),4.59,7865
16159276,Touch & Geaux (Cut & Run, #7),4.52,7152
33533363,High Force (DCI Ryan Mysteries, #5),4.52,4499
9507278,The Complete Works of Edgar Allan Poe,4.52,3845
16566323,The Complete Sherlock Holmes,4.5,3199
18881367,Fatal Jeopardy (Fatal, #7),4.5,3086
26789784,Hurricane Force (Miss Fortune Mystery #7),4.51,2988
29915419,Fortune Hunter (Miss Fortune Mystery #8),4.52,2722
21468248,Fatal Scandal (Fatal, #8),4.54,2722
33142914,Later Gator (Miss Fortune Mystery #9),4.54,2330
32195800,Pretty Lost Dolls (Pretty Little Dolls, #2),4.52,2304
